name,artist_name,playcount,listeners
Kingston,Faye Webster,18396472,1102295
Sunsetz,Cigarettes After Sex,22533370,1390384
I Hate Everything About You,Three Days Grace,19713901,1968868
Space Song,Beach House,30238512,1863614
Lonely Day,System of a Down,22389591,2009743
poster boy,2hollis,4234501,265140
I Love You So,The Walters,24308067,1566532
B2b,Charli xcx,15787696,957473
K.,Cigarettes After Sex,22846863,1340511
Confident,Justin Bieber,8787369,828425
Can't Stop,Red Hot Chili Peppers,23337386,2310166
SexyBack (feat. Timbaland),Justin Timberlake,8646828,1278253
Decode,Paramore,18762752,1414911
One Step Closer,Linkin Park,21919941,2050770
Last Friday Night (T.G.I.F.),Katy Perry,19878031,2241623
Vodka Cranberry,Conan Gray,2828625,236872
Nice To Each Other,Olivia Dean,1910041,300071
Lost,Frank Ocean,29173203,1842289
S&M,Rihanna,19722310,1993194
Faint,Linkin Park,24937850,2112751
Kiss Me,Sixpence None the Richer,18897265,1880139
Black Hole Sun,Soundgarden,20088060,2096102
Like That,Future,19302842,1146050
Cinnamon Girl,Lana Del Rey,24718250,1347360
Snooze,SZA,23434752,1406094
Sexy To Someone,Clairo,12003580,878492
West Coast,Lana Del Rey,29839987,1676128
Good Graces,Sabrina Carpenter,15690125,871333
Agora Hills,Doja Cat,18049165,1004245
Paranoia,The Marías,5113564,537205
This Night Has Opened My Eyes - 2011 Remaster,The Smiths,17333656,1147602
Sweet,Cigarettes After Sex,17199326,1138013
Magnetic,ILLIT,19599620,812091
Rock Your Body,Justin Timberlake,12690688,1760558
ETA,NewJeans,21272044,768208
Don't Stop the Music,Rihanna,16590714,2267106
Duality,Slipknot,21696099,1647029
Heartless,Kanye West,30964096,2667351
Blinding Lights,The Weeknd,35804754,2168331
HUMBLE.,Kendrick Lamar,28615001,2115040
Just,Radiohead,23291102,1938265
Teenagers,My Chemical Romance,24239149,2134436
Infrunami,Steve Lacy,17467799,1119752
Apple Cider,beabadoobee,10754327,708085
Garden of Eden,Lady Gaga,8443405,523963
Bound 2,Kanye West,27534028,1757154
Lovefool,The Cardigans,17601609,1977914
we never dated,sombr,2850010,371900
Headlines,Drake,12582969,972977
Rollin' (Air Raid Vehicle),Limp Bizkit,11854173,1296508
Locked Out of Heaven,Bruno Mars,22171975,2210681
We Are the People,Empire of the Sun,16758144,1411083
Love Me Harder,Ariana Grande,13055809,1214775
Femininomenon,Chappell Roan,17609043,1007709
twilight zone,Ariana Grande,7970446,474601
Like a Tattoo,Sade,11216594,957702
